timestamp,temperature,humidity
7,24.0,40.0
9,24.0,40.0
7,24.0,40.0
8,24.0,40.0
8,24.0,40.0
9,24.0,40.0
11,24.0,40.0
8,24.0,40.0
1746606238.8297164,23.29,40.46
1746606240.8337042,26.99,46.96
1746606242.8473508,26.29,50.06
1746606244.8537886,25.51,49.01
1746606246.8558688,25.94,54.11
1746606248.8585308,25.63,41.03
1746606250.8616986,25.56,54.71
1746606252.8625355,25.51,48.29
1746606254.8646715,26.75,51.12
1746606256.8661222,24.67,52.07
1746606258.8671129,23.55,35.12
1746606260.8680062,25.56,37.09
1746606262.8692052,23.28,52.54
1746606264.8704596,26.11,42.16
1746606266.8715281,26.37,54.8
1746606268.8727863,26.85,51.77
1746606270.8738642,25.01,49.36
1746606272.875759,27.32,38.89
1746606274.8773625,23.23,44.11
1746606276.8792074,23.8,51.9
1746606278.880097,26.54,45.95
1746606280.8822625,23.87,50.79
1746606282.88392,27.44,47.79
1746606284.885163,23.85,50.19
1746606286.8882902,24.83,45.83
1746606288.8904417,27.82,45.34
1746606290.8935583,23.49,39.5
1746606292.8961246,24.56,49.72
1746606294.897558,25.17,51.77
1746606296.8987863,26.98,38.65
1746606298.8998632,27.23,36.94
1746606300.905243,23.66,36.61
1746606302.9081883,24.34,51.94
1746606304.910145,25.18,53.14
1746606306.912149,24.68,46.97
1746606308.91431,24.82,37.55
1746606310.9175723,27.24,43.95
1746606312.9182177,27.37,37.15
1746606314.9394841,23.36,42.11
1746606316.9597676,27.73,36.52
1746606318.7084112,27.37,44.04
1746606318.9831672,26.29,46.02
1746606320.7097518,24.86,47.98
1746606321.0287511,27.46,44.37
1746606322.7109149,23.64,40.46
1746606323.0298274,26.78,39.07
1746606324.7120273,23.67,47.09
1746606325.032571,24.45,41.49
1746606326.7129624,25.58,35.89
1746606326.7083178,26.15,44.05
1746606327.035456,24.58,37.7
1746606328.7136517,27.46,50.9
1746606328.7097688,26.01,54.14
1746606329.036223,25.74,48.66
1746606330.7146943,24.26,44.16
1746606330.7112417,27.64,54.18
1746606331.038263,26.18,47.91
1746606332.715551,23.06,52.95
1746606332.7121496,24.84,48.09
1746606333.0388668,23.65,48.36
